
T       , b0,       b1,       b2,       b3,         b4,         b5,         b6,         b7,         b8,         a0,         a1
0.01	, 1.73e-03, 2.07e-04, 6.29e-04,	1.08e-06,	8.24e-05,	7.36e-05,	1.07e-03,	9.08e-04,	2.02e-04,	3.70e-03,	2.30e-04,
0.02	, 5.53e-02, 3.77e-02, 2.15e-03,	4.30e-03,	3.21e-03,	3.32e-04,	4.75e-03,	2.52e-03,	2.29e-04,	2.19e-02,	2.11e-03,
0.03	, 1.22e-01, 7.02e-02, 2.28e-03,	3.21e-03,	6.91e-05,	9.82e-04,	1.30e-02,	7.82e-03,	2.27e-04,	5.21e-02,	4.60e-03,
0.05	, 2.39e-01, 1.06e-01, 2.63e-02,	8.57e-04,	7.43e-03,	4.87e-03,	1.69e-02,	8.08e-03,	1.71e-03,	9.57e-02,	1.31e-03,
0.075	, 3.05e-01, 7.32e-02, 7.29e-02,	2.02e-04,	1.64e-02,	1.03e-02,	9.26e-04,	6.40e-03,	4.42e-03,	1.21e-01,	5.79e-03,
0.1	    , 2.69e-01, 4.18e-03, 1.07e-01,	5.80e-03,	2.49e-02,	1.34e-02,	2.35e-02,	2.37e-02,	5.84e-03,	1.24e-01,	1.08e-02,
0.15	, 1.41e-01, 1.00e-01, 1.18e-01,	3.01e-02,	4.09e-02,	1.41e-02,	3.16e-02,	2.47e-02,	3.15e-03,	1.15e-01,	1.14e-02,
0.2	    , 5.01e-02, 1.45e-01, 1.11e-01,	4.69e-02,	4.77e-02,	1.18e-02,	3.10e-02,	2.29e-02,	2.41e-03,	1.08e-01,	8.85e-03,
0.25	, 2.28e-02, 1.43e-01, 9.73e-02,	5.20e-02,	4.70e-02,	9.47e-03,	2.71e-02,	2.02e-02,	1.31e-03,	1.04e-01,	7.35e-03,
0.3	    , 1.58e-02, 1.48e-01, 8.83e-02,	5.21e-02,	4.36e-02,	7.33e-03,	3.87e-02,	2.66e-02,	1.76e-03,	1.01e-01,	6.90e-03,
0.4	    , 2.24e-02, 1.03e-01, 7.41e-02,	4.63e-02,	3.58e-02,	4.65e-03,	3.63e-02,	2.45e-02,	1.18e-03,	1.02e-01,	6.71e-03,
0.5	    , 3.19e-02, 7.04e-02, 5.57e-02,	4.25e-02,	2.94e-02,	1.88e-03,	3.87e-02,	2.47e-02,	3.13e-04,	1.01e-01,	6.22e-03,
0.75	, 1.04e-02, 5.33e-02, 3.72e-02,	4.47e-02,	2.40e-02,	2.40e-03,	3.47e-02,	2.59e-02,	2.90e-03,	1.01e-01,	5.86e-03,
1	    , 8.84e-02, 8.92e-02, 2.14e-02,	4.98e-02,	2.36e-02,	4.70e-03,	5.02e-02,	3.43e-02,	2.32e-03,	1.02e-01,	7.31e-03,
1.5	    , 1.57e-01, 9.33e-02, 3.28e-03,	5.85e-02,	2.36e-02,	8.02e-03,	4.81e-02,	3.30e-02,	2.10e-03,	1.02e-01,	8.75e-03,
2	    , 2.96e-01, 1.50e-01, 2.09e-02,	7.30e-02,	2.96e-02,	9.95e-03,	5.24e-02,	3.32e-02,	6.86e-04,	1.03e-01,	9.22e-03,
3	    , 4.07e-01, 1.97e-01, 3.28e-02,	8.35e-02,	3.54e-02,	1.01e-02,	5.57e-02,	2.91e-02,	3.17e-03,	9.63e-02,	1.07e-02,
4	    , 4.49e-01, 2.07e-01, 4.42e-02,	8.75e-02,	3.59e-02,	1.14e-02,	5.07e-02,	2.43e-02,	4.67e-03,	9.83e-02,	1.37e-02,
5	    , 4.98e-01, 2.17e-01, 5.36e-02,	9.03e-02,	3.48e-02,	1.29e-02,	5.19e-02,	2.30e-02,	5.68e-03,	9.42e-02,	1.53e-02,
7.5	    , 5.25e-01, 2.06e-01, 7.79e-02,	9.88e-02,	3.76e-02,	1.51e-02,	2.91e-02,	4.93e-03,	9.02e-03,	8.95e-02,	1.63e-02,
10	    , 3.89e-01, 1.43e-01, 6.12e-02,	7.14e-02,	2.36e-02,	1.30e-02,	2.33e-02,	5.46e-03,	5.92e-03,	6.89e-02,	1.43e-02,
